PRVDR_NUM,ST_ADR,CITY_NAME,STATE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,ADDRESS,LAT,LONG
07G079,MOUNTAINVILLE ROAD,DANBURY,CT,6810.0,1.0,U,"MOUNTAINVILLE ROAD,DANBURY,CT",41.376166,-73.4401007
07G080,3 BECKERLE ST,DANBURY,CT,6810.0,1.0,U,"3 BECKERLE ST,DANBURY,CT",41.4135658,-73.4698474
07G082,P O  BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P O  BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G084,40 CLIFFORD ST,HARTFORD,CT,6114.0,3.0,U,"40 CLIFFORD ST,HARTFORD,CT",41.74019600589413,-72.68541816398645
07G085,PO BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"PO BOX 51,MANSFIELD DEPOT,CT",41.8090222,-72.29371485714458
07G086,P O  BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P O  BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G087,P O BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P O BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G088,P O BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P O BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G089,177 HALF MILE ROAD,EAST HAVEN,CT,6473.0,9.0,U,"177 HALF MILE ROAD,EAST HAVEN,CT",41.35976233841531,-72.82542617414929
07G090,65 SALMON BROOK ROAD,GRANBY,CT,6035.0,3.0,U,"65 SALMON BROOK ROAD,GRANBY,CT",41.9546665,-72.79235150288649
07G091,27 PLEASANT RD,ENFIELD,CT,6082.0,3.0,U,"27 PLEASANT RD,ENFIELD,CT",41.93746589981494,-72.60914110435944
07G092,2 OLD HAWLEYVILLE ROAD,NEWTOWN,CT,6470.0,1.0,U,"2 OLD HAWLEYVILLE ROAD,NEWTOWN,CT",41.4267861,-73.3560141
07G093,52 BROWN ST,BLOOMFIELD,CT,6002.0,3.0,U,"52 BROWN ST,BLOOMFIELD,CT",41.840072,-72.74588
07G094,P.O. BOX  872,SOUTHBURY,CT,6488.0,9.0,U,"P.O. BOX  872,SOUTHBURY,CT",0.0,0.0
07G095,85 ENGLEWOOD DRIVE,NEW HAVEN,CT,6515.0,9.0,U,"85 ENGLEWOOD DRIVE,NEW HAVEN,CT",41.326503398791985,-72.98288740538486
07G096,91 COLUMBIA BLVD,WATERBURY,CT,6710.0,9.0,U,"91 COLUMBIA BLVD,WATERBURY,CT",41.56772100449992,-73.04287492125998
07G097,ORAL SCHOOL ROAD,MYSTIC,CT,6355.0,11.0,U,"ORAL SCHOOL ROAD,MYSTIC,CT",0.0,0.0
07G098,7  VALLEY VIEW DRIVE,BROOKFIELD,CT,6804.0,1.0,U,"7  VALLEY VIEW DRIVE,BROOKFIELD,CT",41.237709,-80.554347
07G099,177 HALF MILE ROAD,EAST HAVEN,CT,6512.0,9.0,U,"177 HALF MILE ROAD,EAST HAVEN,CT",41.35976233841531,-72.82542617414929
07G100,195 ALVORD PARK ROAD,TORRINGTON,CT,6790.0,5.0,R,"195 ALVORD PARK ROAD,TORRINGTON,CT",41.821321616814146,-73.10243373872643
